Date,Close,High,Low,Open,Volume
,QID,QID,QID,QID,QID
2009-01-02,67925.609375,74395.94747511431,67369.16029839017,73994.78651290723,11556
2009-01-05,67731.4921875,69607.8900413761,66385.66200265093,68702.04280157384,11236
2009-01-06,66450.3671875,67382.09580239776,65195.121692429406,66631.5366403968,13471
2009-01-07,70009.0625,71173.7234288355,68326.77449168207,68663.23209334565,13092
2009-01-08,68624.4140625,71807.82078687771,68533.8293183104,70785.50724530926,12918
2009-01-09,71549.015625,72390.15977685839,68533.83735756918,68572.65939534726,12671
2009-01-12,74344.171875,75858.23072780679,71367.81686520888,71548.98630058746,11200
2009-01-13,74305.375,76168.83268025078,72118.40036137235,74434.78178335074,14542
2009-01-14,78782.8359375,79727.50529088987,75651.19232763222,76272.34477917624,14821
2009-01-15,76660.5546875,81979.17183411757,75017.08904852085,79326.33359797012,18892
2009-01-16,74706.5234375,78433.43816987485,73761.8540782522,74124.19301056642,14341
2009-01-20,81681.5390625,81966.23390714116,74615.93064549667,75288.84573283032,15141
2009-01-21,75120.609375,81176.8445494186,74822.97388565891,79300.4468992248,15767
2009-01-22,77061.734375,79598.10716047439,74667.70904177162,78200.5139929681,16496
2009-01-23,76285.28125,80387.47533927056,73943.01900975403,79559.27211620017,14602
2009-01-26,75107.6796875,77048.78098886543,72674.83272312199,75948.82358475836,12597
2009-01-27,73891.25,75185.31742556918,72817.1740367776,75004.14798598949,10125
2009-01-28,68805.5546875,71561.91789014012,67356.19938845918,71406.62982238574,14547
2009-01-29,72221.9140625,72726.60043562982,70229.04992244893,70630.21088570596,12638
2009-01-30,74861.8125,75444.14293431288,70669.03337294728,71264.30448357822,12038
2009-02-02,72985.40625,76479.38846409575,72014.85563497341,76414.68508976065,10909
2009-02-03,70746.6640625,74952.3830711542,70190.21508597037,72804.23120827237,10742
2009-02-04,70500.796875,71121.94927037445,67317.39084870595,70500.796875,13870
2009-02-05,67420.90625,72778.344865643,66515.05914107486,72726.58217370442,17051
2009-02-06,63875.18359375,67343.28513409136,63305.793788619325,66786.83600635003,17311
2009-02-09,63292.8359375,64573.96265142609,62671.68359135402,63810.462892621654,10710
2009-02-10,67912.65625,68909.08813476562,62671.683349609375,64159.86083984375,20853
2009-02-11,68391.4765625,70630.21363824504,67097.40888865895,67977.37490687086,17020
2009-02-12,66722.125,71109.01413401861,66696.24364817688,70241.98884794414,19493
2009-02-13,67576.1953125,68067.94089309651,66023.3145316689,67395.02588806971,14120
2009-02-17,72674.828125,73541.85331808672,70837.2523426371,71756.04023381855,17293
2009-02-18,72674.828125,74564.16660545762,70617.26087573452,71807.80293191328,16399
2009-02-19,74991.1953125,75301.77144494175,70940.76491857205,71743.08659404659,16732
2009-02-20,74383.015625,76997.0325276183,73024.24446274791,76686.45626196067,20366
2009-02-23,79727.5,80348.65241032299,73580.67927284531,73580.67927284531,18857
2009-02-24,74615.9375,79080.47070109262,73270.10720169962,78886.36056191468,17957
2009-02-25,75392.390625,77682.8906491375,72403.09398332905,75262.9838439753,18468
2009-02-26,79481.6328125,79688.68363063742,73503.04043878216,74383.00641586617,16160
2009-02-27,81073.3359375,81849.77650513766,78459.31935978652,81267.44607940942,16952
2009-03-02,86314.3125,87323.68526986508,81202.745267991,83519.12636806598,21598
2009-03-03,86249.609375,87647.20244514254,82768.56737621906,84632.02480307576,16851
2009-03-04,81875.65625,84321.44399004268,79300.46175122491,83920.28303797219,17527
2009-03-05,86417.8359375,87077.81042579177,82237.99751165207,83570.88716447663,14186
2009-03-06,87931.890625,91814.09330160044,84580.25564753496,85563.74699227374,18105
2009-03-09,91632.921875,92383.48104302005,84541.43180474156,89614.17652653226,14098
2009-03-10,80361.6015625,88682.45660351249,80012.20329483696,87944.83803844606,15258
2009-03-11,77864.0625,80542.78294831312,76466.46922261924,78575.79981718464,13016
2009-03-12,72739.5234375,79494.55479035091,72144.25247537137,77941.67401958059,13017
2009-03-13,72118.390625,74357.12767472636,71756.05168053562,72545.43295240446,12421
2009-03-16,74693.5625,75017.07931609494,71070.17415973666,71471.33501169439,13364
2009-03-17,69116.125,74408.85953005055,68909.07426043812,73800.64798258753,12851
2009-03-18,67239.75,70138.46131639722,64910.42840646651,69426.72416281755,12902
2009-03-19,67097.390625,68236.16986800868,65130.40829616683,65272.75570154291,10501
2009-03-20,69167.90625,70164.33820159028,65505.695311038355,67136.22032273152,11327
2009-03-23,61092.92578125,67213.86496670461,61015.281732385876,66023.32288412147,11597
2009-03-24,63254.015625,63318.7189961385,61157.626400112524,62115.236292962356,8068
2009-03-25,62710.52734375,66088.04439631269,60458.84930870822,62322.30699288073,12078
2009-03-26,58750.6640625,61610.553216203196,58673.020013078196,61105.86689496146,13125
2009-03-27,60911.765625,61377.62998924474,59669.46065368069,60057.68095721798,11166
2009-03-30,63939.875,65673.925445254,62943.44302772718,63059.90910240842,10357
2009-03-31,62762.27734375,63021.09085856959,60200.023547036086,62891.68410115979,10613
2009-04-01,60963.515625,64988.06526613246,60562.354728295475,64561.023021253444,13666
2009-04-02,57171.8984375,59242.406303050026,55127.271920269355,58854.186078259394,15430
2009-04-03,54816.703125,56783.685862252125,54803.76244909703,56033.12665987961,11965
2009-04-06,55153.16015625,57288.371659248885,54997.87204694099,56227.236245637316,9822
2009-04-07,58000.1015625,58802.423360107096,56421.33931559572,56460.16133806058,9943
2009-04-08,55968.42578125,57793.06116510115,55411.9766925578,56938.976517341034,8784
2009-04-09,52539.13671875,54376.71243649939,52422.67065213208,54079.07693292026,9629
2009-04-13,52759.1328125,53897.912230577014,52215.62445387233,53043.82766701925,8448
2009-04-14,54053.20703125,54752.00357893674,52836.78341120272,53432.05454441735,10513
2009-04-15,54350.83984375,56175.47518136161,54247.31443452381,54868.466889880954,11866
2009-04-16,51646.234375,53975.55589529566,50934.49724379854,52901.47986093711,11326
