Date,Close,High,Low,Open,Volume
,TZA,TZA,TZA,TZA,TZA
2009-01-02,3793011.75,4003276.5317934784,3663554.6098369565,3869696.552771739,31
2009-01-05,3711379.75,3943083.3069317928,3637993.214174628,3710555.1821817374,35
2009-01-06,3534097.5,3697361.9202053198,3395570.113159123,3626449.0912272516,32
2009-01-07,3836713.75,3985135.9453578335,3694063.528906082,3740239.323017408,40
2009-01-08,3771572.25,3966170.2060559685,3747659.7892982075,3920818.9874836034,36
2009-01-09,4225910.0,4231681.974634146,3736941.2917073173,3750958.944390244,37
2009-01-12,4576352.0,4617580.396396397,4190454.2097297297,4232507.174054054,34
2009-01-13,4393298.0,4661282.581456456,4313314.909534534,4590369.738363364,51
2009-01-14,4965547.0,5005126.252075722,4576351.021255397,4668702.609432083,55
2009-01-15,4721475.5,5443796.935207824,4549965.3875305625,4944108.8190709045,71
2009-01-16,4566455.5,5029862.504514265,4409787.651498736,4419682.462983026,61
2009-01-20,5491622.5,5499043.611486486,4650563.198198198,4745388.511636636,61
2009-01-21,4676123.5,5601288.47390231,4591193.025568683,5233531.273937577,60
2009-01-22,5063669.5,5302794.097785377,4709105.441214786,4950703.741735874,68
2009-01-23,4969669.5,5514708.746640119,4770948.685415629,5447094.195619711,73
2009-01-26,4822897.0,5053775.981022397,4484824.206360062,4993582.532398701,44
2009-01-27,4651386.0,4865773.583761744,4518630.611593689,4762702.630030137,38
2009-01-28,4105523.75,4419684.133360113,4020593.252661177,4389175.119752963,45
2009-01-29,4578000.5,4606035.805655619,4237453.993065562,4267138.4343479825,35
2009-01-30,4850932.0,4958125.805881353,4383402.092809791,4464209.731089581,52
2009-02-02,4723124.5,5119741.623690642,4626650.064507682,5113969.648917598,51
2009-02-03,4612632.5,4841862.359671077,4494719.298802288,4587070.896943154,32
2009-02-04,4722300.0,4814651.597695128,4335577.6846516505,4609334.20639078,46
2009-02-05,4555736.5,4921844.555384615,4344647.17076923,4845984.3276923075,61
2009-02-06,4066767.75,4584596.246958638,4018118.257451338,4535122.186739659,46
2009-02-09,4126136.75,4259716.716726619,4029662.3295863313,4112119.099170664,29
2009-02-10,4645614.5,4723948.432818602,4036258.9594426695,4214365.585640753,73
2009-02-11,4614280.0,4847632.616154396,4501314.245889922,4606858.892065762,43
2009-02-12,4499667.0,5029864.156129741,4499667.0,4850108.355140187,64
2009-02-13,4666228.0,4672824.540731578,4349594.044884255,4529349.779819756,48
2009-02-17,5191479.0,5231882.823221093,4986161.612611182,5176636.779224904,67
2009-02-18,5424007.0,5493270.695348131,5048004.082395865,5060372.599422317,74
2009-02-19,5644166.5,5677973.77925493,5167566.3192841485,5237654.581154127,65
2009-02-20,5878343.5,6270837.749684388,5677148.96864918,5983888.172184037,115
2009-02-23,6566032.0,6596541.0021348735,5749710.050985809,5776096.214994349,82
2009-02-24,5774447.5,6533874.338140797,5641692.102670284,6321960.443024418,84
2009-02-25,6185908.0,6435752.058117836,5766202.96507598,5889888.142362037,79
2009-02-26,6510787.5,6594068.849734043,5895659.906914894,5959976.196808511,58
2009-02-27,6637771.0,6885141.347826087,6260118.935652174,6846386.66,88
2009-03-02,7728673.5,7831744.468473274,7002229.314200362,7094580.901952417,87
2009-03-03,8220940.5,8347099.366248746,7420285.211584754,7441723.973169508,70
2009-03-04,7630551.0,8216818.750270153,7242179.536740869,7834219.262048844,72
2009-03-05,8849262.0,8939139.893961983,7861429.734252702,8131063.416138651,63
2009-03-06,8736295.0,9411615.963190183,8219291.03916942,8572206.023596035,60
2009-03-09,9358845.0,9440477.21629956,8409767.414537445,9089211.315859031,53
2009-03-10,7478004.0,8764329.53092954,7384003.28812438,8658784.871981476,34
2009-03-11,7457389.0,7649513.241154357,6789489.277532066,7223211.813356922,28
2009-03-12,6073766.0,7818551.34564214,5937712.322291611,7562935.345099105,31
2009-03-13,5840413.0,6143029.344910349,5722499.8192856135,5883290.520259777,32
2009-03-16,6173539.0,6223013.067049553,5488323.171363696,5653236.728195539,40
2009-03-17,5330831.5,6284031.997138438,5330006.932095901,6133960.638592421,36
2009-03-18,4746212.0,5530375.935371785,4629123.378735232,5400918.797776233,43
2009-03-19,4914425.0,5004302.906879194,4551615.1006711405,4570580.1635906035,43
2009-03-20,5418234.5,5431427.583548927,4741264.400395678,4794861.302313195,53
2009-03-23,4045330.0,5041407.9942927025,4034610.6176110883,4878143.554830819,58
2009-03-24,4473280.0,4521929.496774194,4076662.916129032,4205295.483870967,38
2009-03-25,4142628.5,4754457.788813694,3951328.7762738853,4381753.154657643,76
2009-03-26,3656958.0,4103873.724013529,3642115.7803833145,3962048.0698985346,60
2009-03-27,3996679.5,4023890.2331338977,3746835.49577058,3845783.616257479,47
2009-03-30,4338050.5,4607684.127352214,4311664.334632199,4353717.285687132,55
2009-03-31,4240751.5,4368559.488041999,3836713.3442543265,4185505.466459265,51
2009-04-01,4011523.0,4503790.056731757,3959575.2201438844,4432877.214388489,57
2009-04-02,3425254.25,3718800.3532739524,3245498.490129995,3642940.124337987,74
2009-04-03,3266937.5,3541518.56701161,3262814.661155982,3434324.757067138,56
2009-04-06,3434324.75,3593466.3290516203,3368359.3286314523,3403815.7426170465,52
2009-04-07,3774046.75,3805380.3258138523,3509360.491151409,3597589.2441009395,53
2009-04-08,3525027.5,3795485.7502923976,3525027.5,3703958.720467836,59
2009-04-09,2959373.75,3309815.0550292563,2931338.44559766,3265288.3950961274,65
2009-04-13,2935461.25,3116866.158707865,2864548.4220505618,3015444.3233848317,63
2009-04-14,3189427.75,3193550.588353154,2961022.5052352636,3059970.6257109614,72
2009-04-15,3050900.5,3269410.941216216,3003075.573243243,3248796.7486486486,71
2009-04-16,2789512.75,3081409.738915164,2708705.109000887,2922268.160212829,63
2009-04-17,2697161.25,2844758.8848975846,2610581.6317639863,2763126.673417915,53
2009-04-20,3108620.25,3118515.0624668435,2828267.230106101,2868671.0476790452,69
2009-04-21,2767250.0,3174586.5613825982,2745811.233611442,3149849.523241955,71
2009-04-22,2774670.75,2925566.6630014856,2551212.8679049034,2900005.0602526003,82
2009-04-23,2803530.75,2941233.583897059,2719424.8275,2740863.5920588234,61
2009-04-24,2642739.5,2806003.9059282374,2521528.0471138847,2724371.7029641187,67
2009-04-27,2719424.0,2796933.355973317,2609756.5069739236,2765599.786537295,85
2009-04-28,2712827.75,2839811.1765957447,2560282.724544073,2813425.010030395,86
2009-04-29,2383000.5,2622949.6852941173,2300543.7352941176,2592440.682352941,99
2009-04-30,2450615.25,2450615.25,2212315.1802658145,2280754.3006393,95
2009-05-01,2407738.0,2473703.4246575343,2341772.5753424657,2436597.8732876712,83
2009-05-04,2143877.0,2368984.085,2131508.4788461537,2340124.2023076923,85
2009-05-05,2175209.25,2260964.277293404,2136454.5742039424,2166963.574298711,68
2009-05-06,2153770.75,2281578.73861026,2056471.7651225117,2094401.877871363,85
2009-05-07,2294772.0,2354140.8767517065,2038331.4351419332,2053998.2220625223,106
2009-05-08,2065542.625,2258491.5169161675,2044103.859231537,2186754.1083832337,101
2009-05-11,2146349.75,2205718.6251440644,2106770.499903957,2175209.6198616982,71
2009-05-12,2240350.5,2344246.0329407435,2077086.0910931174,2108419.664519691,108
2009-05-13,2542967.0,2552861.813229572,2338474.1932555125,2350842.709792477,117
2009-05-14,2436597.75,2579247.9736040607,2309614.313959391,2528124.772081218,122
2009-05-15,2476177.25,2532247.8637196138,2362386.8868631367,2443194.536047286,102
2009-05-18,2209842.0,2403615.4589552237,2180982.123134328,2378053.853731343,101
2009-05-19,2199122.0,2277455.9295088113,2127384.6119235093,2206543.1091113607,90
2009-05-20,2263438.75,2272508.996357013,2028436.912568306,2138104.4367030966,112
2009-05-21,2342597.0,2465457.5959169306,2290649.2312565995,2355790.084125308,115
2009-05-22,2418457.5,2418457.5,2294772.322707126,2312088.2475281283,91
2009-05-26,2081209.375,2494317.8919869256,2067191.7207309825,2484423.0772087956,153
2009-05-27,2188403.25,2202420.9045779957,2039156.4571401658,2110893.8658628487,124
2009-05-28,2180157.25,2331053.1564863846,2106770.716244327,2132332.3178895614,132
2009-05-29,2050700.0,2195823.924406916,2043278.8902291919,2150472.6980297547,104
2009-06-01,1814049.125,1937734.2926136365,1782715.5492045456,1908874.4201704545,139
2009-06-02,1736539.75,1856926.6462488128,1717574.6910018993,1829715.909425451,140
2009-06-03,1776119.25,1843733.8175487465,1767049.0031337047,1786014.0647632312,134
2009-06-04,1691188.625,1807452.6894197953,1687065.7858361776,1741487.2627986348,108
2009-06-05,1699434.375,1743961.0398471616,1636767.2170669578,1647486.5993449783,124
2009-06-08,1756329.25,1805803.3133802817,1688714.696713615,1733241.3537558685,132
2009-06-09,1731592.25,1755504.7144047618,1687890.1598809522,1726644.8435714284,99
2009-06-10,1748908.125,1847031.6831683167,1674697.0305869873,1674697.0305869873,160
2009-06-11,1744785.625,1750557.6001299622,1667276.2446833649,1742311.9213728735,148
2009-06-12,1728294.125,1818172.0160424619,1728294.125,1778592.7612714695,120
2009-06-15,1866821.375,1923716.5494147527,1800031.3876435512,1804154.226369258,145
2009-06-16,1962471.25,1979787.1727941176,1816522.7578781513,1827242.138655462,162
2009-06-17,1931962.0,2020190.7383696116,1863522.8851899274,1964120.138284251,179
2009-06-18,1904751.375,1983909.8737012988,1869294.9641233766,1927014.7027597404,116
2009-06-19,1859400.25,1892382.959534368,1804978.7792682927,1825592.9727272727,118
2009-06-22,2064717.5,2068840.3384584663,1903102.2324281149,1904751.3678115015,128
2009-06-23,2108419.75,2124911.105103637,2009471.6193781774,2030085.8132577238,136
2009-06-24,2049875.625,2082858.3381938857,1965769.7063555913,2051524.7606596942,123
2009-06-25,1875067.25,2108419.9464599825,1869295.2751759016,2100998.835971856,185
2009-06-26,1855277.375,1921242.7927777776,1812399.8534444445,1898979.4642777778,109
2009-06-29,1856926.875,1934436.2561056837,1812400.209258437,1838786.3815497335,117
2009-06-30,1875891.375,1894856.4306593407,1805803.1258241758,1842908.6695054944,134
2009-07-01,1776119.25,1835488.1385793872,1735715.423050139,1833839.0027855153,158
2009-07-02,1948453.25,1977313.1161658908,1857750.8134786289,1859399.9486881085,165
2009-07-06,2006998.375,2100999.1205834015,1974840.225195152,2002050.9673377157,180
2009-07-07,2132332.5,2134806.203596288,2002875.3451276103,2016892.998839907,187
2009-07-08,2171087.0,2281579.08431447,2082858.2461071021,2106770.7121154577,250
2009-07-09,2199122.0,2218087.0566179226,2127384.6119235093,2141402.2624671916,122
2009-07-10,2166963.75,2278280.3809931506,2148823.2619863013,2244473.1078767125,163
2009-07-13,2016068.125,2263438.4470858895,2009471.5830777094,2147998.963445808,173
2009-07-14,1978138.5,2049875.9112130054,1959173.4372655272,2015244.0575239684,121
2009-07-15,1754680.375,1892383.2051809211,1734066.1788651317,1870944.441200658,170
2009-07-16,1677995.375,1779417.2084766584,1654907.477948403,1769522.3954545453,135
2009-07-17,1701907.875,1717574.6626090116,1667276.0287063953,1670574.2997819767,121
2009-07-20,1630995.0,1687065.6066734074,1621100.187057634,1666451.4130434783,132
2009-07-21,1640889.875,1706030.7293341707,1588942.1050879396,1593064.943969849,185
2009-07-22,1610381.0,1673872.724014337,1575749.1505376345,1668100.7491039427,173
2009-07-23,1447116.25,1612854.3504273503,1428151.1937321937,1607082.3767806268,231
2009-07-24,1425678.0,1497415.4123770965,1424853.4320416425,1480099.4852515906,152
2009-07-27,1409186.5,1458660.5725570507,1395993.4139847863,1428151.5611468693,121
2009-07-28,1405063.25,1462782.9844483568,1391870.1678403756,1433923.1172241783,186
2009-07-29,1423203.75,1448765.3469003476,1405063.2618771726,1430624.8587775202,167
2009-07-30,1349817.625,1381151.20456628,1301992.6877672572,1367133.5505497863,196
2009-07-31,1363010.875,1371256.5548245613,1315185.9320175438,1366309.1469298245,135
2009-08-03,1294571.5,1359712.3589171974,1292097.7964968153,1315185.6958598725,151
2009-08-04,1259114.75,1319308.1859855927,1240974.262442698,1317659.0507531108,161
2009-08-05,1286326.0,1326729.8294871794,1250869.5782051282,1252518.7141025641,159
2009-08-06,1344045.75,1354765.1332822086,1261588.9555214723,1274782.042638037,153
2009-08-07,1241798.875,1306939.7190405047,1194798.5191733066,1284676.3925962816,236
2009-08-10,1240974.625,1270659.067857143,1217062.1571428573,1257465.9821428573,156
2009-08-11,1301168.125,1317659.4827313055,1250044.9160329532,1254167.7554657795,148
2009-08-12,1240974.625,1300343.5107142858,1192325.1214285714,1299518.942857143,217
2009-08-13,1207991.75,1264886.9245733789,1198096.9370307166,1210465.4532423208,187
2009-08-14,1285500.875,1320132.7138389994,1212938.9269563823,1215412.6297305964,168
2009-08-17,1392694.75,1400940.426435761,1357238.3413262286,1362185.747187685,179
2009-08-18,1340747.375,1386098.6084717098,1313536.6349169742,1363835.2756765068,178
2009-08-19,1289624.0,1391045.8363171355,1285501.1611253198,1382800.1585677748,182
2009-08-20,1246746.625,1313536.622767857,1237676.3783895501,1297869.8331679893,127
2009-08-21,1160167.0,1211290.2082444918,1147798.4818763325,1209641.0724946696,191
2009-08-24,1158517.875,1176658.3684163701,1123061.456049822,1144500.2209964413,164
2009-08-25,1146973.75,1155219.4275700934,1109868.2009345794,1142850.9112149533,187
2009-08-26,1138727.875,1165114.0386495295,1122236.5227190442,1151920.9568247648,169
2009-08-27,1141201.875,1210465.572615607,1131307.0610549133,1142851.0106575144,218
2009-08-28,1163465.125,1185728.454819277,1097499.703313253,1106569.9487951808,163
2009-08-31,1215412.75,1230254.9681139756,1189851.152137042,1199745.9642130258,152
2009-09-01,1299518.625,1309413.4368654822,1156868.4206059645,1236026.9155298222,279
2009-09-02,1315185.375,1326729.3218652038,1286325.5078369905,1314360.8073667712,166
2009-09-03,1269834.5,1344045.6071428573,1267360.7964285715,1294571.5357142857,154
2009-09-04,1217062.25,1297045.3382452575,1213763.9783197832,1274782.004403794,190
2009-09-08,1176658.125,1218711.0783111423,1174184.4218640504,1177482.6927119833,127
2009-09-09,1115640.5,1186553.3477457503,1094201.7320768663,1175833.9637841834,224
2009-09-10,1068639.875,1141201.8418209876,1064517.0359760802,1114815.6720679014,179
2009-09-11,1072762.625,1088429.4119907764,1040604.4832820907,1062867.8121637201,169
2009-09-14,1038955.3125,1101622.4583333333,1034832.4739583334,1095850.484375,194
2009-09-15,1010920.0,1051323.8172920065,1002674.3230016313,1038130.7340946166,201
2009-09-16,949077.5625,1007621.8778236316,949077.5625,998551.631787576,219
2009-09-17,954849.4375,969691.6567357513,921866.7280872194,949902.0310880829,208
2009-09-18,944130.0625,972989.9334061135,934235.249617904,936708.952838428,204
2009-09-21,949902.3125,987832.439561632,940007.4967447916,969691.9440104166,193
2009-09-22,930112.1875,949901.8085106383,919392.809452571,929287.6199578901,167
2009-09-23,958147.625,962270.463317556,903726.1592082616,924340.3507960413,198
2009-09-24,1013393.8125,1034008.0072213181,941656.4148698128,951551.2283360455,298
2009-09-25,1030709.75,1048025.6738,1006797.2838,1028236.0466,252
2009-09-28,954024.9375,1019990.3610090752,941656.4205920484,1010095.5474827139,225
2009-09-29,968867.0625,973814.4687765957,933410.6508510638,955673.9790957447,195
2009-09-30,1001025.25,1038955.3665568369,958972.2946869851,964744.2689456342,330
2009-10-01,1098324.5,1100798.2038288289,1008446.5942192192,1011744.865990991,332
2009-10-02,1119762.75,1146148.9120029456,1090078.3177466863,1131306.6958762887,325
2009-10-05,1054622.0,1114815.4370602032,1045551.7560594213,1101622.3549648162,236
2009-10-06,996902.4375,1041429.0972394542,983709.3531327543,1033183.4195099256,314
2009-10-07,996077.8125,1013393.7347371689,986182.9997930464,1007621.7606581126,173
2009-10-08,966393.625,987007.8234854948,941656.5868174061,968867.3288182594,234
2009-10-09,933410.6875,972165.3715216431,931761.5520097173,964744.261815371,147
2009-10-12,935059.75,948252.8328924163,907849.0165343916,919392.9640652557,134
2009-10-13,945779.0625,972989.7940278988,932585.9805470794,940831.6567676547,175
2009-10-14,890533.0625,929287.7420717593,887234.7918981481,904550.7125578704,226
2009-10-15,893006.875,914445.6365420129,887234.9007386888,907024.5267774699,158
2009-10-16,921042.125,944130.0207027752,907024.4740376007,911971.880259624,223
2009-10-19,897954.25,933410.6620752984,883112.0309917355,911971.901285583,212
2009-10-20,935884.3125,948252.8276431719,892182.225660793,895480.4963656388,227
2009-10-21,969691.75,976288.2925170067,886410.4007227891,939182.7408588436,301
2009-10-22,930112.1875,1007621.5364583334,918568.241910461,972165.1321476065,361
2009-10-23,986183.3125,992779.8563963211,916095.0336015887,923516.1454849498,317
2009-10-26,1015867.5625,1030709.7833806819,935884.4833096591,979586.578125,379
2009-10-27,1052973.25,1057920.6575959278,997727.1985121378,1013393.9892325763,394
2009-10-28,1159342.125,1170061.5045341393,1052148.329658606,1064516.8445056898,438
2009-10-29,1085955.75,1138728.0871298404,1070288.9624145785,1124710.4350797266,398
2009-10-30,1177482.5,1197272.1218487395,1099973.1477591037,1102446.8504901961,485
2009-11-02,1181605.625,1240149.9371946966,1126359.5839148639,1159342.2950104675,479
2009-11-03,1128008.75,1217886.6401681288,1128008.75,1207167.25877193,383
2009-11-04,1178307.125,1179131.6926172148,1093376.6604268719,1107394.309919524,341
